lon,lat,depth,b1,b2,b3,b4,b5,b6,b8,b10
83.38561249,17.7826252,0.615,-4.242404722,-4.322497346,-3.757581152,-3.739527631,-3.801385499,-4.019906573,-4.248166247,-5.04626516
83.38677979,17.78495979,2.399,-5.120438518,-4.729882898,-4.15549601,-4.855645016,-5.072661327,-4.971256439,-4.94426271,-5.655740545
83.38710022,17.78098106,1.411,-5.006567088,-4.769880726,-4.077136841,-4.656486649,-5.075941412,-5.212929396,-5.210443742,-5.962129178
83.38658905,17.7849617,0.992,-5.120107105,-4.591277209,-3.980691965,-4.535429677,-4.777363377,-4.881693223,-4.869883975,-5.655659329
83.38698578,17.78622055,0.088,-4.480972291,-4.671729318,-4.041162144,-4.527023335,-4.771974411,-4.847904801,-4.800649821,-5.527647535
83.3875885,17.78214836,2.188,-5.642318076,-4.894401773,-4.26094314,-5.126383758,-5.466863343,-5.244689341,-5.387412255,-6.051341404
83.38581085,17.78298378,0.932,-4.330354057,-4.475201316,-3.899069884,-4.347613751,-4.498012579,-4.695754261,-4.72699291,-5.390110669
83.38922882,17.78465843,7.232,-5.924554328,-5.348323062,-4.817382764,-5.538368555,-5.622960658,-5.294106746,-5.395895474,-6.277492554
83.38858795,17.78629112,5.222,-5.686718038,-5.211444401,-4.666384782,-5.388925237,-5.506156779,-5.148719564,-5.200405965,-5.960812336
83.3861084,17.78442574,0.461,-4.819127133,-4.492949592,-3.860301892,-4.197888189,-4.481951552,-4.690507196,-4.70766016,-5.4914555
83.3912735,17.78246498,8.997,-6.709259092,-5.870253794,-5.261863727,-5.88109239,-6.068506,-5.850204175,-5.825154738,-6.880484067
83.39157104,17.78390694,9.672,-5.736774936,-5.650245437,-5.150044229,-5.78696405,-5.875889984,-5.608825154,-5.640838692,-6.745548338
83.38647461,17.78324699,0.771,-5.377281501,-4.701531528,-4.021933892,-4.641021833,-4.967302463,-4.941271817,-4.950862111,-5.666625782
83.38783264,17.78639221,3.223,-5.555138789,-5.002252004,-4.340899654,-5.051321044,-5.145584368,-4.958900953,-4.992953694,-5.743597209
83.38800049,17.78476334,4.52,-5.65328941,-5.059894721,-4.53647487,-5.350954268,-5.413413061,-5.141551937,-5.162985236,-5.919033832
83.39096069,17.78761864,7.331,-6.093042613,-5.628766572,-5.039797079,-5.549838047,-5.685908743,-5.393625452,-5.377376696,-6.220579674
83.38716888,17.7857666,2.009,-5.569360266,-4.919256924,-4.259614466,-5.058019667,-5.115605478,-4.946401323,-4.968252962,-5.698653051
83.38735199,17.78540421,3.514,-5.496659501,-4.941499069,-4.38419657,-5.217957752,-5.309301136,-5.029177238,-5.005543918,-5.790554477
83.3886795,17.78638077,5.167,-5.686881205,-5.211444401,-4.677165023,-5.449513579,-5.506077446,-5.148747711,-5.19282218,-6.01942524
83.38952637,17.78573799,6.798,-5.968795787,-5.477868749,-4.922198438,-5.471915151,-5.540553503,-5.268303589,-5.341207872,-6.131922941
83.38829041,17.78521156,5.1,-5.72264672,-5.192646661,-4.629893155,-5.379584658,-5.413425077,-5.1342939,-5.155711364,-5.946770838
83.38638306,17.78360939,1.297,-4.918810714,-4.683995348,-4.127458284,-4.692794228,-4.882326971,-4.89375733,-4.903968544,-5.645529191
83.39058685,17.7809391,8.66,-6.538499339,-5.717562796,-5.323514137,-6.097183936,-6.033343764,-5.852202848,-5.79852727,-6.657914257
83.3875885,17.78223991,2.334,-5.642027002,-4.915600956,-4.285993338,-5.126383758,-5.466863343,-5.244689341,-5.351064367,-6.051290779
83.38569641,17.78162956,0.718,-4.223195577,-4.388075601,-3.803486164,-4.006133123,-4.261587324,-4.78023362,-4.71804412,-5.328030613
83.38863373,17.78276825,5.702,-5.766578096,-5.244667164,-4.769858875,-5.586754925,-5.714408391,-5.385666681,-5.444820702,-6.381268941
83.39084625,17.78590393,7.648,-5.974548856,-5.505638163,-4.958483492,-5.635096897,-5.713429289,-5.453613549,-5.515460875,-6.31818196
83.38628387,17.78333855,0.757,-4.91903287,-4.684197312,-4.010737429,-4.552688796,-4.894095981,-4.89976219,-4.932971853,-5.656096373
83.38677979,17.78495979,2.056,-5.120438518,-4.729882898,-4.15549601,-4.855645016,-5.072661327,-4.971256439,-4.94426271,-5.655740545
83.38634491,17.78053856,0.251,-4.657604151,-4.529056291,-3.924632865,-4.098153619,-4.336046966,-4.637415798,-4.623978367,-5.099431031
83.3874054,17.78278351,2.654,-5.501488964,-4.893661431,-4.296788587,-5.15639757,-5.415004809,-5.188103119,-5.141975381,-5.892604215
83.38648987,17.78460121,1.413,-5.222894595,-4.596627643,-3.956992397,-4.429392737,-4.82004556,-4.864820087,-4.837439293,-5.604587183
83.38795471,17.78151321,2.335,-5.535451521,-5.178037658,-4.50133447,-5.33580502,-5.457599142,-5.322198439,-5.465283319,-6.381761411
83.38717651,17.7863102,1.558,-5.337175667,-4.677466523,-4.029850861,-4.599532907,-4.887366637,-4.853513686,-4.869805096,-5.645173809
83.38677216,17.78477859,1.901,-5.223282455,-4.741918582,-4.127266422,-4.867258383,-5.072728587,-4.946579247,-4.932517868,-5.666310592
83.38990784,17.78618622,7.269,-6.040805082,-5.465423155,-4.894925379,-5.561229207,-5.5867923,-5.356252863,-5.395737567,-6.277439867
83.38853455,17.78222847,4.72,-5.661675916,-5.177838665,-4.611262442,-5.552280424,-5.755952523,-5.395642481,-5.475194696,-6.360182104
83.39085388,17.78644562,7.633,-6.070101084,-5.518418101,-4.97271677,-5.739935008,-5.673783101,-5.463342803,-5.515173702,-6.258668914
83.38729858,17.78133965,1.469,-5.383149832,-4.853676707,-4.202642518,-4.942231997,-5.295494975,-5.236950428,-5.233829367,-5.962056376
83.38658905,17.78505135,1.243,-5.119942375,-4.601625737,-3.975357999,-4.523047758,-4.761841694,-4.88167247,-4.869883975,-5.655642288
83.38542175,17.78199577,0.401,-4.254729667,-3.579147981,-3.210084179,-3.230089608,-3.235280289,-3.47023584,-3.458948614,-4.873863921
83.39250946,17.78371429,9.179,-5.835777723,-5.815831552,-5.386571804,-6.017747555,-5.926275559,-5.865143934,-5.810997333,-6.91701586
83.3884964,17.78674507,4.39,-5.668621915,-5.084114335,-4.508439907,-5.234796203,-5.33665468,-5.104722306,-5.077677608,-5.839982467
83.39135742,17.78165245,9.565,-5.966890396,-5.911880249,-5.35513297,-5.932239236,-6.192399231,-5.765415716,-5.870770136,-7.036189487
83.38830566,17.78665733,4.367,-5.668162377,-5.026240996,-4.392368946,-5.023990229,-5.200085482,-5.029197019,-5.064154052,-5.755258112
83.38691711,17.78125381,1.405,-5.297179867,-4.763216349,-4.079974717,-4.719001196,-5.111483243,-5.107031473,-5.172114217,-5.791826592
83.38883209,17.78348923,6.398,-6.019393156,-5.327425216,-4.805575853,-5.609891203,-5.687288518,-5.385068647,-5.484448092,-6.381020322
83.38542175,17.78199577,0.033,-4.254729667,-3.579147981,-3.210084179,-3.230089608,-3.235280289,-3.47023584,-3.458948614,-4.873863921
83.38784027,17.78666306,2.516,-5.510422055,-4.971173359,-4.07595597,-4.523197901,-4.798536878,-4.89326092,-4.920820102,-5.732164634
83.38686371,17.78405571,0.938,-5.303418098,-4.884595887,-4.281372173,-4.971370789,-5.176910013,-4.965443093,-4.962619428,-5.709935709
83.38653564,17.78089714,0.886,-5.395121324,-4.775477558,-4.106886952,-4.60602124,-4.913552464,-5.011899169,-5.013788304,-5.69983845
83.38687134,17.78504753,2.204,-5.120438518,-4.810399766,-4.221399064,-4.926918408,-5.16069057,-4.965011898,-4.962258126,-5.709704232
83.38777924,17.78214645,2.546,-5.65947559,-4.944923002,-4.346226546,-5.289765866,-5.531676953,-5.28665309,-5.324845698,-6.13266992
83.39085388,17.78644562,7.78,-6.070101084,-5.518418101,-4.97271677,-5.739935008,-5.673783101,-5.463342803,-5.515173702,-6.258668914
83.38610077,17.78352165,0.804,-4.918524521,-4.526948145,-3.965021124,-4.368306529,-4.697713475,-4.779398733,-4.82717158,-5.556106091
83.39022064,17.78157616,5.778,-6.491578697,-5.948215657,-5.281413396,-5.930764185,-5.977534051,-5.749972051,-5.796851873,-6.628714733
83.38801575,17.78602791,4.234,-5.55588436,-5.042272328,-4.540773392,-5.286248119,-5.345894253,-5.076518957,-5.098295007,-5.852724583
83.38562012,17.78289604,0.71,-4.33027524,-4.098184526,-3.561796465,-3.676707044,-3.996402307,-4.351700689,-4.296349422,-5.141905887
83.39046478,17.78590775,7.727,-6.043405598,-5.466848049,-4.929803331,-5.69881081,-5.739980308,-5.433119913,-5.434374015,-6.359399105
83.38734436,17.78486252,3.481,-5.497089772,-4.927202002,-4.417092262,-5.20987271,-5.336842436,-5.035823869,-5.044308,-5.790645441
83.38834381,17.78223038,4.257,-5.661086494,-5.11438126,-4.561707797,-5.563886631,-5.66267878,-5.287122666,-5.445335491,-6.298124458
83.39056396,17.78599739,7.935,-6.068880721,-5.442268419,-4.929839152,-5.609536182,-5.740120531,-5.442919991,-5.43428652,-6.380969175
83.39125824,17.78183365,9.317,-5.966195289,-5.835845474,-5.243721914,-5.948848037,-6.128993969,-5.866828658,-5.885131007,-6.881260814
83.3857193,17.78352737,0.058,-4.40745655,-4.123451261,-3.525903067,-3.546731589,-3.78774783,-4.229177197,-4.160650715,-5.167276833
