Lon,lat,dep£¨Lon istead£©,b1,b2,b3,b4,b5,b6,b8,b10
83.38618469,17.78297997,1.067,0.012729839,0.014996355,0.021603394,0.010263545,0.008370866,0.008871011,0.008572804,0.004227316
83.38601685,17.78415489,0.337,0.013615688,0.018199325,0.025394833,0.017194603,0.015079072,0.011639454,0.010943029,0.006027739
83.38751984,17.78422737,4.488,0.00963259,0.012475327,0.014795342,0.00611813,0.005953463,0.007402193,0.007347407,0.003235467
83.38690948,17.78071213,0.975,0.010542102,0.014555886,0.020040551,0.010382012,0.00804791,0.007258486,0.007505598,0.003893371
83.38735199,17.78549385,3.294,0.009818686,0.013323465,0.016707104,0.006658631,0.006046186,0.008054564,0.008069973,0.003640668
83.38609314,17.78297997,0.844,0.012730812,0.015311084,0.021654673,0.011064501,0.008546482,0.009130687,0.00874281,0.004373998
83.3866806,17.7847805,1.843,0.011398785,0.015530303,0.021360315,0.009780211,0.007541417,0.008573661,0.008662431,0.00408165
83.38745117,17.78576469,3.348,0.009818037,0.01258741,0.016658342,0.006569221,0.006222429,0.008098009,0.007985652,0.003714051
83.38626099,17.78180504,1.463,0.011668347,0.015145738,0.020698287,0.009544542,0.007748695,0.008087298,0.007807732,0.004078632
83.38825226,17.78232193,4.074,0.009488975,0.012189548,0.015281342,0.004851677,0.004708228,0.00630778,0.005729198,0.002424025
83.39289093,17.78380013,10.546,0.00904303,0.008838416,0.008557683,0.003537974,0.003194029,0.00391206,0.004109304,0.001354266
83.38672638,17.78125572,1.403,0.011015875,0.014244298,0.020943264,0.009584519,0.006733534,0.007476944,0.007549959,0.003453356
83.39137268,17.78282547,9.774,0.007230331,0.009637602,0.009572656,0.003720686,0.003506443,0.004217288,0.004407382,0.001612248
83.38887787,17.78710175,4.443,0.008872387,0.012107147,0.01479678,0.006075781,0.005559788,0.007144726,0.007180024,0.00327255
83.3870697,17.78549767,2.557,0.010111681,0.013483749,0.018111143,0.007686148,0.006707274,0.008358255,0.008577911,0.003824578
83.3881073,17.78593636,5.127,0.009871813,0.011687253,0.014395279,0.005852526,0.005780201,0.007404367,0.007434141,0.003419773
83.38624573,17.78054047,0.725,0.019492935,0.018852161,0.026173372,0.02106956,0.016417051,0.011709022,0.015356412,0.007198182
