Lon,lat,depth,b1,b2,b3,b4,b5,b6,b8,b10
83.39084625,17.78599358,7.907,0.008318805,0.010084966,0.01125777,0.004586658,0.004490813,0.005393363,0.002387604,0.002212953
83.39137268,17.78282547,9.628,0.007230331,0.009637602,0.009572656,0.003720686,0.003506443,0.004407382,0.001612248,0.001412298
83.38588715,17.78153801,0.734,0.012603072,0.017136708,0.024587322,0.015544713,0.012398725,0.00928709,0.005033777,0.003773204
83.38793182,17.7863903,3.7,0.009874695,0.012692137,0.017058311,0.007238099,0.006838019,0.00811148,0.003787429,0.002975085
83.38796997,17.78268623,3.672,0.009554104,0.012352725,0.015386655,0.005301793,0.004886748,0.006112713,0.002681988,0.002479227
83.38764191,17.78630447,2.958,0.009877291,0.013115433,0.018110679,0.007418384,0.006838625,0.008112916,0.003897775,0.002899045
83.38620758,17.78478622,0.877,0.014083297,0.017051533,0.024998717,0.016132927,0.012718962,0.010141973,0.005220491,0.003736226
83.39260864,17.78389359,10.352,0.009105781,0.008842416,0.009218787,0.00349633,0.00350512,0.004492166,0.00161178,0.001222071
83.38759613,17.78242111,2.717,0.009555595,0.013195379,0.017543742,0.006418586,0.005283375,0.006367276,0.002939303,0.002479253
83.38607788,17.78171539,1.039,0.011670488,0.015879801,0.021996656,0.011191151,0.008583291,0.008780018,0.00404203,0.003278583
83.38607025,17.78108406,0.193,0.014749698,0.016397759,0.023688713,0.015984826,0.012702894,0.009327379,0.004739188,0.004077323
83.38673401,17.78161812,0.854,0.011018265,0.01361735,0.01864522,0.008115517,0.006339079,0.007551322,0.003637323,0.003050008
83.38587952,17.78108597,0.181,0.014751746,0.017604956,0.025729857,0.018951792,0.015284711,0.011016953,0.006171348,0.005713241
83.39096069,17.78743744,7.303,0.008208133,0.009562992,0.011311986,0.004501669,0.004318232,0.005904171,0.002462029,0.001946838
83.38915253,17.7861042,6.447,0.009040384,0.011311429,0.012629727,0.005267767,0.005072426,0.006626888,0.002977598,0.0024419
83.38659668,17.78532219,1.451,0.01198589,0.016214829,0.0237044,0.012584127,0.009914574,0.009508522,0.004302476,0.003545993
83.38943481,17.78628159,6.523,0.00862802,0.011099823,0.012074901,0.004952766,0.005158513,0.006372763,0.002757015,0.002517971
